,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time
35,35,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008174704847328842,0.04869160723389378,0.03169698160346037,8919,5058,1367.33
36,36,[],3,1,3,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020255645231230246,0.08440682620550519,0.056787137036060406,9149,5070,1635.24
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.02085427289330297,0.08622018980029136,0.05805188126043779,8944,5061,1645.26
38,38,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.019933521061439308,0.08546964801789521,0.05726611892828639,8937,5058,1636.73
39,39,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.019674687238602453,0.08471318502074635,0.05677090329197481,8919,5058,1658.83
40,40,[],3,1,3,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020388757766901397,0.0844509522525135,0.05677467135110296,9149,5070,1629.02
41,41,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.02021466751229371,0.0838418099773098,0.05645280153821617,8944,5061,1642.31
42,42,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.019343142298465073,0.0834020792120149,0.055782031031853786,8937,5058,1606.85
43,43,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.01911879032559874,0.08315833036436283,0.05571917774672838,8919,5058,1631.72
44,44,[],3,1,3,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.02023874430528818,0.08445854486520976,0.05682354293509386,9149,5070,1655.43
45,45,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020810569721609593,0.08565839666564873,0.05774505415226064,8944,5061,1668.11
46,46,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.01952205991142262,0.0845344248934335,0.056645581520829526,8937,5058,1656.04
47,47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.019581028704115818,0.08477391712866199,0.05682312161256981,8919,5058,1652.92
48,48,[],3,1,4,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020136528383172436,0.08548529288720005,0.057564526090928554,9149,5070,1911.25
49,49,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020510914965483004,0.08492911851147522,0.05726152573510646,8944,5061,1927.74
50,50,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.01948125117560527,0.08568896750022684,0.0575612128633197,8937,5058,1890.11
51,51,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.019381708505571086,0.0831935153196656,0.05593345515545355,8919,5058,1928.1
52,52,[],3,1,4,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020799566023914355,0.08585687576840517,0.05785154748782363,9149,5070,1917.13
