,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
25,25,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.008781198460814496,0.048448455207319795,0.03182488589215551,0.03766663087482018,0.04213868076118785,4732,2679,404.01
26,26,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.0077426335000164905,0.04382629172989201,0.028348905535724517,0.033210645859233355,0.03654061385680331,4729,2677,395.68
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.007810856999628032,0.045092686000191534,0.0292521243667207,0.034317999467316,0.03785940071566386,4719,2677,407.46
28,28,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.00897143159883259,0.05060839619134841,0.032379455444901784,0.037774167633035524,0.04123581004039014,2338,1654,220.35
29,29,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.001,0.009279662627296808,0.05303116711791957,0.03465994856739854,0.04060031805898613,0.044674909202612335,4841,2684,410.88
30,30,[],3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.008273232668604677,0.04555535760079037,0.02975927236811703,0.03508540965063389,0.039168906705745014,4841,2684,397.52
31,31,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.00884356321793422,0.04945368632148601,0.031739128879619,0.03717086214873029,0.040753831561106964,2419,1659,218.97
32,32,"['DR_REGENM_10', 'RI_REGENM_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.008413412668052588,0.04641551053097753,0.030347870975665846,0.03577159132039049,0.039870405969728635,4746,2676,393.05
33,33,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.009019424264209736,0.050245382017244974,0.032921076634993544,0.038853655501703194,0.043451659109735793,4731,2510,396.04
34,34,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.008338040177867188,0.045625122054663216,0.029786932716540575,0.03513830407475941,0.0391348793468157,4586,2654,386.2
35,35,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.008777270466888105,0.04776577376713223,0.031306093637710294,0.03698446660446013,0.04134626917574842,4732,2679,406.69
36,36,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.007290772052609423,0.0416968625524585,0.026922594292824984,0.0314633886789087,0.03461978573253315,4729,2677,396.49
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.007616373912862241,0.04450489703138766,0.028658650181517642,0.03350182989599736,0.036791174766614844,4719,2677,408.85
38,38,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.009289458360044744,0.051879680072022705,0.03321795734270699,0.0388506528938077,0.04241516450505323,2338,1654,220.5
39,39,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,16,3,same,1,relu,False,3,True,121,False,1,70,relu,0.2,100,relu,0.0001,0.011075422428016195,0.05757090539490609,0.03803601311578293,0.04495856316152136,0.04971524464956737,4841,2684,406.98
40,40,[],3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008550456226244021,0.04659637289338469,0.030559261469101647,0.036139645912922826,0.04042784144300288,4841,2684,409.61
41,41,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.00879587564155087,0.05094566522444177,0.0326756039162277,0.03826577407907605,0.04192967833268207,2419,1659,224.59
42,42,"['DR_REGENM_10', 'RI_REGENM_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008601035662477255,0.04717769925240077,0.030991928006294547,0.03667736914454537,0.041038474960511294,4746,2676,402.72
43,43,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009478182131107571,0.05133469508186192,0.0338874369014467,0.040237328551464745,0.04509735770827973,4731,2510,407.94
44,44,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008490494091193526,0.04777683014127019,0.0313092331127299,0.03705472563259138,0.04135391640633542,4586,2654,395.13
45,45,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009133714321375625,0.04975567900337918,0.03290816864740695,0.039038984128158795,0.04376062549976737,4732,2679,416.87
46,46,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.007863319735530075,0.045561137961928844,0.029545208394489028,0.034647891422148636,0.03813079530193941,4729,2677,406.88
47,47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.007945679517110074,0.046059014812014715,0.029932832677659792,0.03522783201940955,0.03888683862711791,4719,2677,419.81
48,48,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008853413443577953,0.050198396332488904,0.032159838747220726,0.03758373103963594,0.04115733071113635,2338,1654,225.47
49,49,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008928223556696105,0.05232059802941348,0.034159663105034856,0.040328732467965034,0.04452345454415659,4841,2684,420.44
50,50,[],3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.00845730303300294,0.04572674803990011,0.02994469860417747,0.035310564307711984,0.039468319628754724,4841,2684,409.88
51,51,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008788409144416559,0.04984982343243479,0.03193207706678119,0.037219379449192194,0.040769759822020905,2419,1659,225.17
52,52,"['DR_REGENM_10', 'RI_REGENM_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008350372767032425,0.045675604605864076,0.029791446739267143,0.03512625471869573,0.03913465812822107,4746,2676,404.88
53,53,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,16,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009025658933443396,0.05048012681475035,0.03306897715634536,0.039072555105349634,0.04358879167333845,4731,2510,408.16
