counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
38,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017125496,0.082565899,489,318,65.48
39,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016714021,0.081241271,486,318,68.25
40,[],3,1,4,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.01805753,0.086258589,510,321,84.54
41,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,4,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017712004,0.086910094,510,321,85.57
42,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017341687,0.083980362,490,318,83.11
43,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017109904,0.083219423,489,318,82.79
44,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.016813191,0.082674199,486,318,83.29
45,[],3,1,4,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.018542343,0.089848939,510,321,84.19
46,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,4,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.01776477,0.086295385,510,321,85.43
47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017846071,0.088250237,490,318,82.94
48,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017385941,0.083968608,489,318,82.86
49,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016637005,0.082187368,486,318,83.98
50,[],3,1,0,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017690229,0.083784243,510,321,17.05
51,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017601779,0.08441532,510,321,18.37
52,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017422961,0.084848515,490,318,18.14
53,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017245208,0.082860614,489,318,16.59
