,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
25,25,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009351001,0.050867339,0.033655378,8697,5045,898.13,1
26,26,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007950599,0.046055415,0.030116542,8690,5040,2582.01,1
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007649768,0.045599084,0.029671318,8670,5040,896.57,1
28,28,[],5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.00985461,0.051495338,0.033990287,8905,5056,1213.06,1
29,29,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009772904,0.052147344,0.034421521,8697,5045,1250.78,1
30,30,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008492466,0.047920437,0.031238966,8690,5040,1181.48,1
31,31,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008507121,0.046693788,0.030441919,8670,5040,1248.99,1
32,32,[],5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020041545,0.082231692,0.055232282,8905,5056,1487.74,1
33,33,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019696783,0.081368429,0.054691624,8697,5045,1608.49,1
34,34,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.018682896,0.080282476,0.053747778,8690,5040,1547.44,1
