,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
35,35,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008708779366205904,0.04974559965732897,0.03245222635343198,0.038156232405813756,0.042171291942516086,4586,2654,240.68
36,36,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008605034029178137,0.049060391579698916,0.0319966399844492,0.037650015419595395,0.041701116862580094,4732,2679,259.11
37,37,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007803171281479432,0.047770815421175,0.03080592332336407,0.03596922992678765,0.03944049737477731,4729,2677,248.51
38,38,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007912002631226742,0.04721020945519323,0.03051825047347417,0.035736206072428146,0.03924303194844901,4719,2677,261.65
39,39,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00913358078104818,0.04997443665529597,0.03197125739467982,0.03737779079266863,0.04065375556172815,2419,1659,142.04
40,40,[],3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00830658272639371,0.04751893148446213,0.03097126181424573,0.03652980999404703,0.040332027128763305,4841,2684,234.13
41,41,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008328077585359405,0.04778204591517488,0.03113537855916101,0.036713737796239744,0.04072360851075892,4746,2676,232.87
42,42,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00939490381243556,0.05085547036176592,0.03325314693726021,0.03934380906202691,0.043671430153498496,4731,2510,239.49
43,43,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008415669432577976,0.04723851429487079,0.030806202211933812,0.03631217614683377,0.04024646544675697,4586,2654,227.52
44,44,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008818449836519752,0.04733173348527503,0.031012242632779942,0.03673410538961899,0.04084279250933521,4732,2679,246.63
