,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,ACTIVATION1,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
59,59,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.01674421683718763,0.08337094985775328,457,304,83.47
60,60,[],5,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.017814915747457596,0.08423546193602402,491,309,105.57
61,61,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.017888369679618526,0.08626761296857648,491,309,105.62
62,62,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.017329334637693487,0.08442807856261722,463,304,102.31
63,63,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.01715299753889108,0.08399763170717445,462,304,100.49
64,64,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,2,haar,False,1,100,relu,0.2,60,relu,Adam,0.017121670657077672,0.08440887592998444,457,304,105.79
65,65,[],5,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.018143481862193445,0.08698543262381926,491,309,122.73
66,66,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017928059832185303,0.08734262072437408,491,309,125.83
67,67,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.01784382787461012,0.08615938540421826,463,304,124.03
68,68,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017136069130418013,0.08366213489648283,462,304,120.7
69,69,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,False,1,100,relu,0.2,60,relu,Adam,0.017455480335922532,0.08303769611462763,457,304,123.23
70,70,[],5,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.018523212796520847,0.0909395932505872,491,309,146.38
71,71,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",5,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.018266062895037707,0.0910053588762488,491,309,146.62
72,72,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.01876525724003973,0.09165048770324156,463,304,142.41
73,73,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.017206998160044035,0.08387404172302582,462,304,145.03
