,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
36,36,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.01705499063250994,0.08184514419782021,533,332,72.98
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.016728662638511135,0.08108033213750829,532,332,73.97
38,38,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0001,0.016759898852218135,0.0818004045180723,532,332,74.13
39,39,[],1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.017741800579653945,0.08510853600064291,546,333,71.36
40,40,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.018442082337139502,0.08755223935699641,546,333,72.57
41,41,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.020108190432893733,0.09701506766075099,268,183,40.49
42,42,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.020657117886192344,0.0999946705695855,268,183,40.96
43,43,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.019507309847697104,0.09486996434111258,260,182,39.26
44,44,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.018752204163542487,0.09116817997557697,260,182,38.94
45,45,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.017876754030214978,0.08688213213776916,536,331,71.09
46,46,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.01785023831017197,0.08579467962860399,534,315,72.03
47,47,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.01782878812928148,0.08397400825821098,510,327,69.09
48,48,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.0172893895540916,0.08410079036555243,534,332,71.65
49,49,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.017316303122508862,0.08407289877656136,533,332,72.65
50,50,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.01648138642757109,0.08285810126787527,532,332,74.0
51,51,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.001,0.016813335618964913,0.08197112920868305,532,332,72.3
52,52,[],1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.01783770385498369,0.0854157586525117,546,333,71.2
53,53,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.01847491710296749,0.08486754339156014,546,333,73.01
54,54,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.020293431867935367,0.09672854166432296,268,183,41.21
55,55,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.02151331850101794,0.09445726399808618,268,183,41.59
56,56,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.019556107111746095,0.09309153266860558,260,182,40.6
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.019135814957786657,0.09304881880182152,260,182,40.52
58,58,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.017829385578272246,0.08622704277819043,536,331,71.55
59,59,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.017919876172333433,0.08512587108546515,534,315,74.11
60,60,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,relu,0.2,100,relu,0.0005,0.01785806602093682,0.08378510983210666,510,327,71.54
