,counter,col_selection,HISTORY,STEP_FACTOR,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
67,67,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,3,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01699206889629217,0.08199670223803965,534,332,60.52
68,68,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,3,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01722119156001688,0.08214049723841176,533,332,58.39
69,69,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,3,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.016865783966660938,0.08255388700476185,532,332,58.41
70,70,[],1,1,32,3,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017560396483590195,0.08452350418206835,546,333,57.71
71,71,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,3,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017491678277074076,0.08495213716933475,546,333,56.63
72,72,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,3,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01740086710044607,0.083159513322923,534,332,57.91
73,73,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,3,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017203631674064798,0.08249126333483395,533,332,56.96
74,74,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,3,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.016991056541412905,0.08148456563560907,532,332,57.56
75,75,[],1,1,32,3,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017671804533626663,0.08550344122690523,546,333,90.16
76,76,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,3,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017748315651550776,0.0857268732486324,546,333,87.35
