,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
25,25,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.016899211942111983,0.08183513956749437,532,332,56.71
26,26,[],1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01789461004432255,0.08437699890164842,546,333,53.58
27,27,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01747971265175301,0.0845029468177647,546,333,53.42
28,28,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.02011718432935579,0.09712038797507797,268,183,31.21
29,29,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.019897681591922612,0.09583912748414267,268,183,31.49
30,30,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.019315789114547944,0.09744941642612254,260,182,30.35
31,31,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.019260451853454152,0.09339828106664408,260,182,30.61
32,32,"['DR_REGENM_10', 'RI_REGENM_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.018117232344268035,0.08584824141308844,536,331,53.04
33,33,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01815613183654826,0.08631290593627829,534,315,53.0
34,34,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017630185153245617,0.08307037407203194,510,327,51.49
35,35,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017259274146450003,0.08240253243873025,534,332,54.95
36,36,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017152314624140325,0.08165971996133237,533,332,53.28
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01649646952682637,0.08167089371912303,532,332,54.05
38,38,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01709164261155218,0.08307080170944574,532,332,56.14
39,39,[],1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.01791458567435252,0.0853217439857085,546,333,57.41
40,40,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.0176319223739051,0.08356444675495786,546,333,57.16
41,41,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.020283473956051245,0.09715946727651747,268,183,32.77
42,42,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.020142092887452105,0.09582311823602757,268,183,34.08
