,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
28,28,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009975121469450173,0.05597498680075938,0.035917859853457794,0.0420136299845416,0.04590100701080171,2338,1654,88.68
29,29,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009567512094134504,0.06131167267021857,0.04007954327766482,0.04713975462992417,0.051877064204571346,4841,2684,156.13
30,30,[],3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.010921504148590151,0.057921027616005386,0.03787818754277244,0.04467687663239653,0.04920819235550469,4841,2684,139.66
31,31,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.012856973352674436,0.06666457738270268,0.04354626076889781,0.05124873555191455,0.05630406715974183,2419,1659,85.62
32,32,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.010996458236956256,0.05874197056257924,0.038453868967773364,0.04532738741512877,0.04993573201698919,4746,2676,142.74
33,33,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.011768339959883557,0.06176824534922075,0.040463552248248144,0.04773176725304755,0.052532259357815886,4731,2510,150.24
34,34,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.010451076662030705,0.055463260540711656,0.03612037678297619,0.0425384540200317,0.046884946486331715,4586,2654,139.92
35,35,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.011892080578330529,0.06064972533471123,0.03987704177395624,0.04703412286113944,0.05191160934110212,4732,2679,155.33
36,36,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009874533947609964,0.05517208282369032,0.03587687303449389,0.04207167506710502,0.046082599663306884,4729,2677,142.99
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009597637972225664,0.05363029761375132,0.03482890213068396,0.04081658454283387,0.0447355097089673,4719,2677,159.57
